"","Critically Endangered","Endangered","Vulnerable","Least Concern","realm"
"1",0,272.264,9749.36,465217.019,"Subantarctic"
"2",7439.09061072309,19581.9738704175,9474.70178921634,42653.7237132556,"Coastal"
"3",28.1520198774511,1430.86425754722,518.157670869884,17.3270794728034,"Estuarine"
"4",4995.76589528585,17747.4552205148,64183.0017023575,1827426.19817326,"Marine"
"5",6089.15360410628,6145.38007601165,13502.4587745292,4169.82789839492,"Wetland"
"6",38385.3200528154,15514.6608180963,29410.4441052802,96213.3133685108,"River"
"7",9175.1508,70047.4372,30431.9964,871290.4316,"Terrestrial"
